691455.125,1191498,3.68709397
691455.125,1191498,3.68543005
691454.875,1191497.875,3.66320395
691454.875,1191497.75,3.65945792
691454.75,1191497.625,3.66617703
691454.6875,1191497.625,3.65719295
691454.625,1191497.625,3.655478
691454.5625,1191497.5,3.64592099
691454.5,1191497.5,3.64661407
691454.5,1191497.5,3.65173602
691454.5,1191497.5,3.65710497
691454.5625,1191497.5,3.66338706
691454.5,1191497.5,3.66726089
691454.5,1191497.5,3.66772199
691454.5,1191497.5,3.67240405
691454.5,1191497.5,3.67916012
691454.1875,1191497.25,3.64319491
691454.125,1191497.125,3.65937304
691454.1875,1191497.125,3.66718411
691454.1875,1191497.125,3.67325497
691454.125,1191497.125,3.67351699
691453.5625,1191496.75,3.61951709
691453.25,1191496.375,3.66293406
691453.25,1191496.375,3.66842389
691453.25,1191496.375,3.67353606
691452.75,1191496,3.60146999
691452.75,1191496,3.6064899
691452.6875,1191495.875,3.63569093
691452.6875,1191495.875,3.64054489
691452.6875,1191495.875,3.64347506
691452.6875,1191495.875,3.65143895
691452.6875,1191495.875,3.66076398
691451.4375,1191494.875,3.51358604
691451.4375,1191494.875,3.51984811
691451.4375,1191494.875,3.52694702
691450.9375,1191494.5,3.48455906
691450.8125,1191494.375,3.49507499
691450.6875,1191494.375,3.48771596
691450.6875,1191494.25,3.49128389
691450.625,1191494.25,3.48987603
691450.5,1191494.125,3.48032188
691450.4375,1191494.125,3.47411609
691450.25,1191493.875,3.45204306
691449.5625,1191493.375,3.4221921
691449.5625,1191493.375,3.43251896
691449.5625,1191493.375,3.43907905
691449.5625,1191493.375,3.44250607
691449.4375,1191493.125,3.483253
691449.4375,1191493.125,3.49156094
691448.6875,1191492.625,3.41297102
691448.75,1191492.625,3.43258095
691447.75,1191491.875,3.35026407
691447.6875,1191491.75,3.35362911
691447.5625,1191491.625,3.34661007
691447.5,1191491.625,3.34579492
691447.375,1191491.5,3.34485197
691443.8125,1191488.625,3.145432
691443.875,1191488.625,3.15878201
691440.875,1191486.25,2.93099594
691454.25,1191496.125,4.53993177
691454.3125,1191496.125,4.54586887
691454.3125,1191496.125,4.55192614
691454.3125,1191496.125,4.55790281
691454.1875,1191496,4.59368515
691454.1875,1191496,4.6088872
691454.25,1191496,4.64296722
691454.25,1191496,4.64867306
691454.25,1191496,4.65457296
691454.25,1191496,4.66034889
691454.25,1191496,4.66613102
691454.25,1191496,4.67156792
691460,1191500.375,5.25154305
691460,1191500.375,5.25492477
691460,1191500.375,5.2581439
691460,1191500.375,5.26483822
691460.0625,1191500.375,5.29005384
691460.0625,1191500.375,5.29313993
691460.0625,1191500.375,5.29617882
691460.0625,1191500.375,5.29927206
691460.0625,1191500.375,5.30841398
691460.0625,1191500.375,5.31145191
